7 77
3 5 6
3 5 14
3 5 30
3 5 62
3 5 126
3 5 9
3 5 25
3 5 57
3 5 121
3 13 22
3 13 54
3 13 118
3 13 14
3 13 30
3 13 62
3 13 126
3 13 17
3 13 49
3 13 113
3 13 21
3 13 53
3 13 117
3 29 38
3 29 102
3 29 46
3 29 110
3 29 30
3 29 62
3 29 126
3 29 33
3 29 97
3 29 37
3 29 101
3 29 45
3 29 109
3 61 70
3 61 78
3 61 94
3 61 62
3 61 126
3 61 65
3 61 69
3 61 77
3 61 93
3 125 126
7 25 42
7 25 106
7 25 26
7 25 58
7 25 122
7 25 46
7 25 110
7 25 97
7 25 41
7 25 105
7 25 35
7 25 99
7 57 74
7 57 90
7 57 58
7 57 122
7 57 78
7 57 73
7 57 89
7 57 67
7 121 122
15 51 60
15 51 124
15 51 85
15 51 53
15 51 117
15 51 93
15 51 83
15 51 71
15 113 114
15 115 124
15 115 117
