10 545
3 5 6
3 5 14
3 5 30
3 5 62
3 5 126
3 5 254
3 5 510
3 5 1022
3 5 9
3 5 25
3 5 57
3 5 121
3 5 249
3 5 505
3 5 1017
3 13 22
3 13 54
3 13 118
3 13 246
3 13 502
3 13 1014
3 13 14
3 13 30
3 13 62
3 13 126
3 13 254
3 13 510
3 13 1022
3 13 17
3 13 49
3 13 113
3 13 241
3 13 497
3 13 1009
3 13 21
3 13 53
3 13 117
3 13 245
3 13 501
3 13 1013
3 29 38
3 29 102
3 29 230
3 29 486
3 29 998
3 29 46
3 29 110
3 29 238
3 29 494
3 29 1006
3 29 30
3 29 62
3 29 126
3 29 254
3 29 510
3 29 1022
3 29 33
3 29 97
3 29 225
3 29 481
3 29 993
3 29 37
3 29 101
3 29 229
3 29 485
3 29 997
3 29 45
3 29 109
3 29 237
3 29 493
3 29 1005
3 61 70
3 61 198
3 61 454
3 61 966
3 61 78
3 61 206
3 61 462
3 61 974
3 61 94
3 61 222
3 61 478
3 61 990
3 61 62
3 61 126
3 61 254
3 61 510
3 61 1022
3 61 65
3 61 193
3 61 449
3 61 961
3 61 69
3 61 197
3 61 453
3 61 965
3 61 77
3 61 205
3 61 461
3 61 973
3 61 93
3 61 221
3 61 477
3 61 989
3 125 134
3 125 390
3 125 902
3 125 142
3 125 398
3 125 910
3 125 158
3 125 414
3 125 926
3 125 190
3 125 446
3 125 958
3 125 126
3 125 254
3 125 510
3 125 1022
3 125 129
3 125 385
3 125 897
3 125 133
3 125 389
3 125 901
3 125 141
3 125 397
3 125 909
3 125 157
3 125 413
3 125 925
3 125 189
3 125 445
3 125 957
3 253 262
3 253 774
3 253 270
3 253 782
3 253 286
3 253 798
3 253 318
3 253 830
3 253 382
3 253 894
3 253 254
3 253 510
3 253 1022
3 253 257
3 253 769
3 253 261
3 253 773
3 253 269
3 253 781
3 253 285
3 253 797
3 253 317
3 253 829
3 253 381
3 253 893
3 509 518
3 509 526
3 509 542
3 509 574
3 509 638
3 509 766
3 509 510
3 509 1022
3 509 513
3 509 517
3 509 525
3 509 541
3 509 573
3 509 637
3 509 765
3 1021 1022
7 25 42
7 25 106
7 25 234
7 25 490
7 25 1002
7 25 26
7 25 58
7 25 122
7 25 250
7 25 506
7 25 1018
7 25 46
7 25 110
7 25 238
7 25 494
7 25 1006
7 25 97
7 25 225
7 25 481
7 25 993
7 25 41
7 25 105
7 25 233
7 25 489
7 25 1001
7 25 35
7 25 99
7 25 227
7 25 483
7 25 995
7 57 74
7 57 202
7 57 458
7 57 970
7 57 90
7 57 218
7 57 474
7 57 986
7 57 58
7 57 122
7 57 250
7 57 506
7 57 1018
7 57 78
7 57 206
7 57 462
7 57 974
7 57 193
7 57 449
7 57 961
7 57 73
7 57 201
7 57 457
7 57 969
7 57 89
7 57 217
7 57 473
7 57 985
7 57 67
7 57 195
7 57 451
7 57 963
7 121 138
7 121 394
7 121 906
7 121 154
7 121 410
7 121 922
7 121 186
7 121 442
7 121 954
7 121 122
7 121 250
7 121 506
7 121 1018
7 121 142
7 121 398
7 121 910
7 121 385
7 121 897
7 121 137
7 121 393
7 121 905
7 121 153
7 121 409
7 121 921
7 121 185
7 121 441
7 121 953
7 121 131
7 121 387
7 121 899
7 249 266
7 249 778
7 249 282
7 249 794
7 249 314
7 249 826
7 249 378
7 249 890
7 249 250
7 249 506
7 249 1018
7 249 270
7 249 782
7 249 769
7 249 265
7 249 777
7 249 281
7 249 793
7 249 313
7 249 825
7 249 377
7 249 889
7 249 259
7 249 771
7 505 522
7 505 538
7 505 570
7 505 634
7 505 762
7 505 506
7 505 1018
7 505 526
7 505 521
7 505 537
7 505 569
7 505 633
7 505 761
7 505 515
7 1017 1018
15 51 212
15 51 468
15 51 980
15 51 60
15 51 124
15 51 252
15 51 508
15 51 1020
15 51 449
15 51 961
15 51 85
15 51 213
15 51 469
15 51 981
15 51 53
15 51 117
15 51 245
15 51 501
15 51 1013
