12 654
3 5 6
3 5 14
3 5 30
3 5 62
3 5 126
3 5 254
3 5 510
3 5 1022
3 5 2046
3 5 4094
3 5 9
3 5 25
3 5 57
3 5 121
3 5 249
3 5 505
3 5 1017
3 5 2041
3 5 4089
3 13 22
3 13 54
3 13 118
3 13 246
3 13 502
3 13 1014
3 13 2038
3 13 4086
3 13 14
3 13 30
3 13 62
3 13 126
3 13 254
3 13 510
3 13 1022
3 13 2046
3 13 4094
3 13 49
3 13 113
3 13 241
3 13 497
3 13 1009
3 13 2033
3 13 4081
3 13 21
3 13 53
3 13 117
3 13 245
3 13 501
3 13 1013
3 13 2037
3 13 4085
3 29 102
3 29 230
3 29 486
3 29 998
3 29 2022
3 29 4070
3 29 46
3 29 110
3 29 238
3 29 494
3 29 1006
3 29 2030
3 29 4078
3 29 30
3 29 62
3 29 126
3 29 254
3 29 510
3 29 1022
3 29 2046
3 29 4094
3 29 225
3 29 481
3 29 993
3 29 2017
3 29 4065
3 29 101
3 29 229
3 29 485
3 29 997
3 29 2021
3 29 4069
3 29 45
3 29 109
3 29 237
3 29 493
3 29 1005
3 29 2029
3 29 4077
3 61 454
3 61 966
3 61 1990
3 61 4038
3 61 206
3 61 462
3 61 974
3 61 1998
3 61 4046
3 61 94
3 61 222
3 61 478
3 61 990
3 61 2014
3 61 4062
3 61 62
3 61 126
3 61 254
3 61 510
3 61 1022
3 61 2046
3 61 4094
3 61 961
3 61 1985
3 61 4033
3 61 453
3 61 965
3 61 1989
3 61 4037
3 61 205
3 61 461
3 61 973
3 61 1997
3 61 4045
3 61 93
3 61 221
3 61 477
3 61 989
3 61 2013
3 61 4061
3 125 1926
3 125 3974
3 125 910
3 125 1934
3 125 3982
3 125 414
3 125 926
3 125 1950
3 125 3998
3 125 190
3 125 446
3 125 958
3 125 1982
3 125 4030
3 125 126
3 125 254
3 125 510
3 125 1022
3 125 2046
3 125 4094
3 125 3969
3 125 1925
3 125 3973
3 125 909
3 125 1933
3 125 3981
3 125 413
3 125 925
3 125 1949
3 125 3997
3 125 189
3 125 445
3 125 957
3 125 1981
3 125 4029
3 253 3854
3 253 1822
3 253 3870
3 253 830
3 253 1854
3 253 3902
3 253 382
3 253 894
3 253 1918
3 253 3966
3 253 254
3 253 510
3 253 1022
3 253 2046
3 253 4094
3 253 3853
3 253 1821
3 253 3869
3 253 829
3 253 1853
3 253 3901
3 253 381
3 253 893
3 253 1917
3 253 3965
3 509 3646
3 509 1662
3 509 3710
3 509 766
3 509 1790
3 509 3838
3 509 510
3 509 1022
3 509 2046
3 509 4094
3 509 3645
3 509 1661
3 509 3709
3 509 765
3 509 1789
3 509 3837
3 1021 3326
3 1021 1534
3 1021 3582
3 1021 1022
3 1021 2046
3 1021 4094
3 1021 3325
3 1021 1533
3 1021 3581
3 2045 3070
3 2045 2046
3 2045 4094
3 2045 3069
3 4093 4094
7 25 42
7 25 106
7 25 234
7 25 490
7 25 1002
7 25 2026
7 25 4074
7 25 46
7 25 110
7 25 238
7 25 494
7 25 1006
7 25 2030
7 25 4078
7 25 97
7 25 225
7 25 481
7 25 993
7 25 2017
7 25 4065
7 25 99
7 25 227
7 25 483
7 25 995
7 25 2019
7 25 4067
7 57 202
7 57 458
7 57 970
7 57 1994
7 57 4042
7 57 90
7 57 218
7 57 474
7 57 986
7 57 2010
7 57 4058
7 57 122
7 57 250
7 57 506
7 57 1018
7 57 2042
7 57 4090
7 57 206
7 57 462
7 57 974
7 57 1998
7 57 4046
7 57 449
7 57 961
7 57 1985
7 57 4033
7 57 201
7 57 457
7 57 969
7 57 1993
7 57 4041
7 57 217
7 57 473
7 57 985
7 57 2009
7 57 4057
7 57 451
7 57 963
7 57 1987
7 57 4035
7 121 906
7 121 1930
7 121 3978
7 121 410
7 121 922
7 121 1946
7 121 3994
7 121 186
7 121 442
7 121 954
7 121 1978
7 121 4026
7 121 250
7 121 506
7 121 1018
7 121 2042
7 121 4090
