11 917
3 5 6
3 5 14
3 5 30
3 5 62
3 5 126
3 5 254
3 5 510
3 5 1022
3 5 2046
3 5 9
3 5 25
3 5 57
3 5 121
3 5 249
3 5 505
3 5 1017
3 5 2041
3 13 22
3 13 54
3 13 118
3 13 246
3 13 502
3 13 1014
3 13 2038
3 13 14
3 13 30
3 13 62
3 13 126
3 13 254
3 13 510
3 13 1022
3 13 2046
3 13 17
3 13 49
3 13 113
3 13 241
3 13 497
3 13 1009
3 13 2033
3 13 21
3 13 53
3 13 117
3 13 245
3 13 501
3 13 1013
3 13 2037
3 29 38
3 29 102
3 29 230
3 29 486
3 29 998
3 29 2022
3 29 46
3 29 110
3 29 238
3 29 494
3 29 1006
3 29 2030
3 29 30
3 29 62
3 29 126
3 29 254
3 29 510
3 29 1022
3 29 2046
3 29 33
3 29 97
3 29 225
3 29 481
3 29 993
3 29 2017
3 29 37
3 29 101
3 29 229
3 29 485
3 29 997
3 29 2021
3 29 45
3 29 109
3 29 237
3 29 493
3 29 1005
3 29 2029
3 61 70
3 61 198
3 61 454
3 61 966
3 61 1990
3 61 78
3 61 206
3 61 462
3 61 974
3 61 1998
3 61 94
3 61 222
3 61 478
3 61 990
3 61 2014
3 61 62
3 61 126
3 61 254
3 61 510
3 61 1022
3 61 2046
3 61 65
3 61 193
3 61 449
3 61 961
3 61 1985
3 61 69
3 61 197
3 61 453
3 61 965
3 61 1989
3 61 77
3 61 205
3 61 461
3 61 973
3 61 1997
3 61 93
3 61 221
3 61 477
3 61 989
3 61 2013
3 125 134
3 125 390
3 125 902
3 125 1926
3 125 142
3 125 398
3 125 910
3 125 1934
3 125 158
3 125 414
3 125 926
3 125 1950
3 125 190
3 125 446
3 125 958
3 125 1982
3 125 126
3 125 254
3 125 510
3 125 1022
3 125 2046
3 125 129
3 125 385
3 125 897
3 125 1921
3 125 133
3 125 389
3 125 901
3 125 1925
3 125 141
3 125 397
3 125 909
3 125 1933
3 125 157
3 125 413
3 125 925
3 125 1949
3 125 189
3 125 445
3 125 957
3 125 1981
3 253 262
3 253 774
3 253 1798
3 253 270
3 253 782
3 253 1806
3 253 286
3 253 798
3 253 1822
3 253318
3 253 830
3 253 1854
3 253 382
3 253 894
3 253 1918
3 253 254
3 253 510
3 253 1022
3 253 2046
3 253 257
3 253 769
3 253 1793
3 253 261
3 253 773
3 253 1797
3 253 269
3 253 781
3 253 1805
3 253 285
3 253 797
3 253 1821
3 253317
3 253 829
3 253 1853
3 253 381
3 253 893
3 253 1917
3 509 518
3 509 1542
3 509 526
3 509 1550
3 509 542
3 509 1566
3 509 574
3 509 1598
3 509 638
3 509 1662
3 509 766
3 509 1790
3 509 510
3 509 1022
3 509 2046
3 509 513
3 509 1537
3 509 517
3 509 1541
3 509 525
3 509 1549
3 509 541
3 509 1565
3 509 573
3 509 1597
3 509 637
3 509 1661
3 509 765
3 509 1789
3 1021 1030
3 1021 1038
3 1021 1054
3 1021 1086
3 1021 1150
3 1021 1278
3 1021 1534
3 1021 1022
3 1021 2046
3 1021 1025
3 1021 1029
3 1021 1037
3 1021 1053
3 1021 1085
3 1021 1149
3 1021 1277
3 1021 1533
3 2045 2046
7 25 42
7 25 106
7 25 234
7 25 490
7 25 1002
7 25 2026
7 25 26
7 25 58
7 25 122
7 25 250
7 25 506
7 25 1018
7 25 2042
7 25 46
7 25 110
7 25 238
7 25 494
7 25 1006
7 25 2030
7 25 97
7 25 225
7 25 481
7 25 993
7 25 2017
7 25 41
7 25 105
7 25 233
7 25 489
7 25 1001
7 25 2025
7 25 35
7 25 99
7 25 227
7 25 483
7 25 995
7 25 2019
7 57 74
7 57 202
7 57 458
7 57 970
7 57 1994
7 57 90
7 57 218
7 57 474
7 57 986
7 57 2010
7 57 58
7 57 122
7 57 250
7 57 506
7 57 1018
7 57 2042
7 57 78
7 57 206
7 57 462
7 57 974
7 57 1998
7 57 193
7 57 449
7 57 961
7 57 1985
7 57 73
